"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q_RecaptchaScore","Q3","DV_accept","DV_accept.1","DV_accept.2","DV_accept.3","DV_comfort_scales_1","DV_comfort_scales_2","DV_comfort_scales_3","DV_comfort_scales_4","DV_comfort_scales_5","sec2_GDPR.aware","GDPR.Knowledge","sec2_CCPA.aware","CCPA.Knowledge","sec2_T.F.cookies","sec2_T.F.cookies_2","sec2_T.F.cookies.3","sec2_T.F.cookies_4","sec2_T.F.cookies_5","sec2_T.F.cookies_6","sec2_privacy.notice","sec2_cookie.time","sec2_cookie.accept","sec2_cookie_review","sec2_cookie.motiv.A","sec2_cookie.motiv.A_7_TEXT","sec2_cookie.motiv.D","sec2_cookie.motiv.D_7_TEXT","sec2_comfort.scale_1","sec2_comfort.scale_2","sec2_comfort.scale_3","sec2_comfort.scale_4","sec2_comfort.scale_5","sec2_comfort.scale_6","Large_Established_Firm","Start_up","Online_Advertising_Tech_Company","Hardware_Tech_Company","Local_Business","Hospital_Medical_Facility","US_Government_Website","Non_profit_Organization","Personal_Blog","Google","Amazon","Meta","Apple","TikTok","sec2_govt.big.tech_1","sec2_govt.big.tech_2","sec2_govt.big.tech_3","sec3_social.media","sec3_browser","sec3_browser_9_TEXT","sec3_avg.brows.","sec3_web.purpose","sec3_web.purpose_8_TEXT","sec3_device","sec3_device_9_TEXT","sec3_attention.check","sec3_internet.use","dem.age","Age","Gender","dem.gender_5_TEXT","Education","Attention Check","Income","Employment","dem_employment_7_TEXT","Political","Phone","dem_phone.device_5_TEXT","Q158","ResponseID","participantId","stimulus.id","Composite_DV","comp_govt","income_category","comp_comfort"
"29","2023-07-13 09:03:57","2023-07-13 09:11:33","IP Address","69.140.203.68","100","456","True","2023-07-13 09:11:34","R_7UGgCwS30Z3Rsrv","","","","","39.3248","-76.6062","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",5,5,5,5,5,5,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","True","True","True","True","True","About once a month","10-30 seconds","Rarely – I rarely accept the default policy; that is I will usually click “Decline” and/or modify my privacy settings.","Occasionally - I read them sometimes, depending on the website or context","To protect my privacy and control my personal data.,Out of habit or convenience.","","To protect my online privacy,To hide my online activity from the website operator,To prevent the company from accessing personally sensitive information about me","",1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,5,5,5,5,2,6,5,5,"Facebook,Instagram,Twitter,TikTok","Google Chrome","","2 hours","Entertainment","","Computer (desktop/laptop),Mobile phone or smartphone,Games console (e.g., PlayStation, Xbox, Wii, Nintendo DS)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Enabling and, or disabling internet browser cookies on your personal devices,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself","Numeric Entry:",27,"Male","","High School","Zenith Computing","$0-24,999","Employed Full-Time","","No preference","Android","","1","R_7UGgCwS30Z3Rsrv","AF329573F9A64CC0BF4371D478335CFF","large-old-ads",5,5.33333333333333,"Low_Income",2
"30","2023-07-13 09:03:50","2023-07-13 09:11:44","IP Address","98.211.139.207","100","474","True","2023-07-13 09:11:45","R_2uUutXY4Nm7H5SR","","","","","25.761","-80.2325","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",6,5,5,5,4,4,"Moderately aware","Moderately knowledgeable","Not at all aware","Not knowledgeable at all","True","False","True","True","True","False","About once per day","Less than 10 seconds","Frequently – I often accept the default cookie & data use policies","Occasionally - I read them sometimes, depending on the website or context","Because the cookie policy was necessary to view the website.","","To protect my online privacy,To hide my online activity from the website operator,To prevent the company from accessing personally sensitive information about me,Because I believe selecting “Accept” is not my best interest","",5,5,5,5,2,1,4,4,1,4,4,7,7,4,2,6,6,6,6,6,7,5,7,"Facebook,Instagram,Twitter,Snapchat,TikTok","Firefox","","More than 8 hours","Education,News,Entertainment,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website,Use a coding/programming language (e.g. Python, Java, JavaScript, C++, Ruby, SQL)","Numeric Entry:",42,"Male","","Master's Degree","Zenith Computing","$25,000-$49,999","Employed Full-Time","","Very liberal","Android","","1","R_2uUutXY4Nm7H5SR","4680491AF58148D7915636150F84281B","large-new-ads",4.83333333333333,6.33333333333333,"Low_Income",3.83333333333333
"31","2023-07-13 09:04:45","2023-07-13 09:12:08","IP Address","47.220.38.113","100","443","True","2023-07-13 09:12:08","R_1BRZz53iUhKlIfE","","","","","38.4541","-81.3575","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",4,3,2,2,3,2,"Extremely aware","Very knowledgeable","Somewhat aware","Moderately knowledgeable","True","False","True","True","True","False","About once a week","20-30 seconds","Frequently – I often accept the default cookie & data use policies","Frequently - I read them most of the time, but not always","To reduce the number of ads I see.,Out of habit or convenience.","","To protect my online privacy","",4,5,3,4,4,4,4,3,3,2,3,3,2,2,3,3,3,2,2,2,4,4,4,"None of the above","Google Chrome","","Less than 1 hour","Education","","Wearable device (e.g., Apple Watch, FitBit)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online","Numeric Entry:",40,"Male","","Some High School","Zephyr Technologies","$50,000-$74,999","Retired","","Very liberal","iOS/iPhone","","1","R_1BRZz53iUhKlIfE","4870F995121B47F2B637051176D1C806","large-new-ads",2.66666666666667,4,"Middle_Income",4
"32","2023-07-13 09:03:58","2023-07-13 09:12:19","IP Address","99.123.61.85","100","500","True","2023-07-13 09:12:20","R_2Y5NvmoTrjPiwFV","","","","","33.1734","-86.6177","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",2,2,2,2,2,2,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","False","False","True","True","True","False","About once per day","10-30 seconds","Frequently – I often accept the default cookie & data use policies","Occasionally - I read them sometimes, depending on the website or context","Out of habit or convenience.","","To protect my online privacy","",4,6,5,5,3,3,5,2,3,2,4,3,2,4,2,5,5,4,3,5,6,4,4,"Facebook,Instagram,Snapchat,TikTok","Google Chrome","","1 hour","Entertainment,Shopping","","Computer (desktop/laptop),Mobile phone or smartphone","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Remove people from your ‘friends’ or contact lists on a social networking site","Numeric Entry:",25,"Female","","Some High School","Zenith Computing","$75,000-$99,999","Employed Full-Time","","Slightly liberal","iOS/iPhone","","1","R_2Y5NvmoTrjPiwFV","EFC0912271EE40568BD5383ED0456934","small-old-ads",2,4.66666666666667,"Middle_Income",4.33333333333333
"33","2023-07-13 09:04:11","2023-07-13 09:12:24","IP Address","50.81.155.36","100","492","True","2023-07-13 09:12:25","R_3KrnYWStjZMpU03","","","","","41.6244","-93.6694","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",7,3,3,3,4,4,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","True","True","False","True","False","About once a week","Less than 10 seconds","Always – I always accept the default cookie & data use policies","Never - I never read websites' privacy policies","Out of habit or convenience.,Other (please specify):","They're going to track you anyway","Because I believe selecting “Accept” is not my best interest","",3,5,5,5,1,1,3,1,1,5,4,5,1,4,1,1,1,1,1,1,7,7,7,"Facebook,Instagram,Twitter,TikTok","Google Chrome","","6 hours","Education,News,Entertainment,Shopping","","Computer (desktop/laptop),Mobile phone or smartphone","","A broader circle of family and friends (20-200 people)","Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Post online music or a video that you have created yourself","Numeric Entry:",50,"Female","","Trade School","Zenith Computing","$25,000-$49,999","Employed Full-Time","","Liberal","iOS/iPhone","","1","R_3KrnYWStjZMpU03","8F7BDD5083354A5FA89D37B5298507DC","large-old-products",4,7,"Low_Income",3.33333333333333
"34","2023-07-13 09:03:58","2023-07-13 09:12:32","IP Address","108.53.176.45","100","514","True","2023-07-13 09:12:33","R_1OvkKXz0tMlebzm","","","","","40.4992","-74.4996","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",6,5,5,5,5,3,"Somewhat aware","Slightly knowledgeable","Not at all aware","Not knowledgeable at all","True","False","True","True","True","True","About once a month","Less than 10 seconds","Frequently – I often accept the default cookie & data use policies","Rarely - I rarely read them unless it's a website or service I'm particularly concerned about","Out of habit or convenience.,Because the cookie policy was necessary to view the website.","","To protect my online privacy","",6,4,5,5,3,3,3,3,2,3,5,3,3,3,3,2,2,2,2,1,4,4,4,"None of the above","Google Chrome","","1 hour","Entertainment,Shopping","","Computer (desktop/laptop),Mobile phone or smartphone","","I don’t share photos/videos of myself or others online","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself","Numeric Entry:",19,"Male","","High School","Zenith Computing","$50,000-$74,999","Other (Please specify):","Student","Very liberal","iOS/iPhone","","1","R_1OvkKXz0tMlebzm","29D61ED4F035472BBF58239AB24C15C2","small-old-ads",4.83333333333333,4,"Middle_Income",4.33333333333333
"35","2023-07-13 09:04:23","2023-07-13 09:13:12","IP Address","73.208.67.228","100","528","True","2023-07-13 09:13:13","R_50IjfKCoTKOrxjr","","","","","41.8502","-87.6736","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",6,4,4,4,3,3,"Slightly aware","Slightly knowledgeable","Not at all aware","Not knowledgeable at all","True","False","True","True","True","False","About once per day","10-30 seconds","Frequently – I often accept the default cookie & data use policies","Rarely - I rarely read them unless it's a website or service I'm particularly concerned about","Because the cookie policy was necessary to view the website.","","To prevent the company from accessing personally sensitive information about me","",4,4,3,4,4,4,5,2,4,4,5,7,7,3,2,4,4,4,4,1,4,4,4,"Twitter","Google Chrome","","1 hour","Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone","","I don’t share photos/videos of myself or others online","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself","Numeric Entry:",35,"Male","","Master's Degree","Zenith Computing","$50,000-$74,999","Employed Full-Time","","Slightly liberal","iOS/iPhone","","1","R_50IjfKCoTKOrxjr","53AEB0EBFB3B4C24A634F1B7C7285E25","small-old-ads",4,4,"Middle_Income",3.83333333333333
"36","2023-07-13 09:04:21","2023-07-13 09:13:14","IP Address","173.75.244.63","100","533","True","2023-07-13 09:13:15","R_3foNHVNw23Qy4rb","","","","","40.1809","-75.2156","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",5,3,2,4,2,1,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","False","True","True","True","False","About once a month","10-30 seconds","Occasionally – Sometimes I will accept the default policy, sometimes I will decline the default policy and/or modify my privacy settings using these screens.","Frequently - I read them most of the time, but not always","Out of habit or convenience.","","To prevent the company from accessing personally sensitive information about me,Because I believe selecting “Accept” is not my best interest","",2,1,1,1,2,1,3,1,1,2,3,3,2,4,1,1,1,1,1,1,5,3,6,"Instagram,Twitter","Google Chrome","","3 hours","Entertainment","","Computer (desktop/laptop),Mobile phone or smartphone","","I don’t share photos/videos of myself or others online","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Remove people from your ‘friends’ or contact lists on a social networking site","Numeric Entry:",35,"Male","","Prefer not to say","Zenith Computing","$75,000-$99,999","Employed Full-Time","","Slightly liberal","iOS/iPhone","","1","R_3foNHVNw23Qy4rb","319E032E04894EFF8714701682900505","large-old-products",2.83333333333333,4.66666666666667,"Middle_Income",1.33333333333333
"37","2023-07-13 09:07:02","2023-07-13 09:13:42","IP Address","65.215.17.47","100","399","True","2023-07-13 09:13:42","R_24cjHZcRXyBJYo3","","","","","40.6002","-74.1469","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",6,6,5,6,5,4,"Moderately aware","Moderately knowledgeable","Moderately aware","Very knowledgeable","True","False","False","True","False","True","About once a month","20-30 seconds","Never – I never accept the default policy; I always click “Decline” and/or modify my privacy settings.","Occasionally - I read them sometimes, depending on the website or context","Out of habit or convenience.","","To hide my online activity from the website operator,Because I believe selecting “Accept” is not my best interest","",6,5,5,6,5,5,6,2,6,2,3,4,4,4,5,6,5,5,5,4,5,5,5,"Facebook,Instagram,Twitter,Snapchat,Linkedin,TikTok","Google Chrome","","2 hours","Education,News,Entertainment,Work/Business","","Wearable device (e.g., Apple Watch, FitBit)","","A large number of ‘friends’ or contacts (200+ people)","Post online music or a video that you have created yourself","Numeric Entry:",65,"Female","","Bachelor's Degree","Zenith Computing","$25,000-$49,999","Retired","","Very conservative","Android","","1","R_24cjHZcRXyBJYo3","A9A67A3F254F4C8FB2CB9C500F028D87","large-old-ads",5.33333333333333,5,"Low_Income",5.33333333333333
"38","2023-07-13 09:04:16","2023-07-13 09:14:01","IP Address","50.25.27.41","100","584","True","2023-07-13 09:14:01","R_2sYg9wkUNfgVTgB","","","","","37.9722","-81.1579","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",2,1,2,2,1,1,"Moderately aware","Slightly knowledgeable","Somewhat aware","Not knowledgeable at all","True","False","True","False","True","True","More than once per day","Less than 10 seconds","Never – I never accept the default policy; I always click “Decline” and/or modify my privacy settings.","Rarely - I rarely read them unless it's a website or service I'm particularly concerned about","Because the cookie policy was necessary to view the website.","","Because I believe selecting “Accept” is not my best interest","",1,1,1,1,1,1,1,1,1,1,1,5,4,1,1,4,4,1,1,1,7,7,7,"None of the above","Firefox","","More than 8 hours","News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Games console (e.g., PlayStation, Xbox, Wii, Nintendo DS)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Create a website","Numeric Entry:",31,"Female","","High School","Zenith Computing","$0-24,999","Employed Part-Time","","Slightly liberal","Android","","1","R_2sYg9wkUNfgVTgB","7130E4112C0345A18E0F6562A6CCEA29","small-old-ads",1.5,7,"Low_Income",1
"39","2023-07-13 09:04:39","2023-07-13 09:14:16","IP Address","71.236.182.9","100","577","True","2023-07-13 09:14:17","R_1In6ya1cRRL76On","","","","","45.6435","-122.6247","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",7,5,5,6,6,6,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","False","True","True","True","True","About once a month","Less than 10 seconds","Frequently – I often accept the default cookie & data use policies","Never - I never read websites' privacy policies","Out of habit or convenience.,Because the cookie policy was necessary to view the website.","","To hide my online activity from the website operator","",5,5,5,5,3,2,4,5,7,4,4,7,7,5,4,6,6,6,6,6,4,4,4,"Facebook,Instagram,Twitter,Snapchat","Google Chrome","","4 hours","Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab),Smart home devices (e.g., Amazon Echo, Google Home)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website","Numeric Entry:",44,"Female","","Bachelor's Degree","Zenith Computing","$50,000-$74,999","Employed Full-Time","","Slightly liberal","Android","","1","R_1In6ya1cRRL76On","8A59AE734367456A8C3C8212C87F3C97","large-old-products",5.83333333333333,4,"Middle_Income",4.16666666666667
"40","2023-07-13 09:05:00","2023-07-13 09:14:26","IP Address","67.140.193.172","100","565","True","2023-07-13 09:14:26","R_dniWqM11F3dRt6h","","","","","34.879","-83.992","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",1,1,1,1,1,1,"Slightly aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","False","True","False","True","False","More than once per day","More than 2 minutes","Occasionally – Sometimes I will accept the default policy, sometimes I will decline the default policy and/or modify my privacy settings using these screens.","Occasionally - I read them sometimes, depending on the website or context","Out of habit or convenience.","","To protect my online privacy,To hide my online activity from the website operator,To prevent the company from accessing personally sensitive information about me","",1,1,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,1,1,1,6,2,1,"Facebook,Snapchat","Google Chrome","","More than 8 hours","News,Entertainment,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Smart home devices (e.g., Amazon Echo, Google Home)","","Close family and friends (fewer than 20 people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Remove people from your ‘friends’ or contact lists on a social networking site,Create a website","Numeric Entry:",60,"Male","","Bachelor's Degree","Zenith Computing","$25,000-$49,999","Employed Full-Time","","No preference","Android","","1","R_dniWqM11F3dRt6h","FDC65C5F8DCB4731B5953C1745FC9696","large-old-products",1,3,"Low_Income",1
"41","2023-07-13 09:04:05","2023-07-13 09:14:42","IP Address","172.89.232.238","100","636","True","2023-07-13 09:14:42","R_3raEqfZL8wHrFDj","","","","","34.0528","-117.6648","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",7,6,6,6,4,4,"Somewhat aware","Moderately knowledgeable","Somewhat aware","Moderately knowledgeable","True","False","True","True","True","False","About once per day","10-30 seconds","Always – I always accept the default cookie & data use policies","Frequently - I read them most of the time, but not always","To reduce the number of ads I see.","","To hide my online activity from the website operator","",5,3,5,5,5,4,5,4,3,4,4,5,4,4,5,5,6,4,4,4,4,5,4,"Facebook,Instagram,Twitter,Snapchat,Linkedin,TikTok","Firefox","","4 hours","Education,News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone","","A broader circle of family and friends (20-200 people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site","Numeric Entry:",34,"Male","","High School","Zenith Computing","$75,000-$99,999","Employed Full-Time","","No preference","iOS/iPhone","","1","R_3raEqfZL8wHrFDj","9C83E0FF26FD471993D8C4042C8905BD","large-new-ads",5.5,4.33333333333333,"Middle_Income",4.5
"42","2023-07-13 09:07:18","2023-07-13 09:14:48","IP Address","13.89.244.46","100","449","True","2023-07-13 09:14:48","R_1r1WIXDfAmOqlY9","","","","","41.6021","-93.6124","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",1,2,2,2,2,2,"Extremely aware","Extremely knowledgeable","Extremely aware","Extremely knowledgeable","True","False","True","True","True","False","More than once per day","Less than 10 seconds","Never – I never accept the default policy; I always click “Decline” and/or modify my privacy settings.","Never - I never read websites' privacy policies","To protect my privacy and control my personal data.","","To protect my online privacy","",4,3,3,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,"Facebook,Instagram","Google Chrome","","More than 8 hours","Education,News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop)","","Close family and friends (fewer than 20 people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website,Use a coding/programming language (e.g. Python, Java, JavaScript, C++, Ruby, SQL)","Numeric Entry:",32,"Male","","Bachelor's Degree","Zenith Computing","$100,000-$124,999","Employed Full-Time","","Slightly liberal","iOS/iPhone","","1","R_1r1WIXDfAmOqlY9","CE791658D24940268E2D468FDC7A2F88","small-old-ads",1.83333333333333,5,"Middle_Income",4
"43","2023-07-13 09:04:22","2023-07-13 09:15:29","IP Address","70.15.80.18","100","667","True","2023-07-13 09:15:30","R_eWhKbrynmjjpE7D","","","","","41.1404","-75.9364","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",5,5,5,5,5,5,"Slightly aware","Slightly knowledgeable","Not at all aware","Slightly knowledgeable","True","False","True","True","True","False","About once a week","10-30 seconds","Frequently – I often accept the default cookie & data use policies","Frequently - I read them most of the time, but not always","Out of habit or convenience.","","To prevent the company from accessing personally sensitive information about me","",5,5,5,5,4,5,5,3,5,3,5,5,5,3,2,3,4,2,2,1,5,5,5,"Twitter","Google Chrome","","2 hours","News,Work/Business","","Computer (desktop/laptop)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site","Numeric Entry:",63,"Male","","High School","Zenith Computing","$150,000-$199,999","Employed Full-Time","","Slightly conservative","Android","","1","R_eWhKbrynmjjpE7D","347DFF6F67AB4A94AC5CAA3F965ECF6B","large-old-products",5,5,"Upper_Income",4.83333333333333
"44","2023-07-13 09:04:38","2023-07-13 09:15:41","IP Address","65.131.46.139","100","662","True","2023-07-13 09:15:41","R_yrxqEQmHbqqmtcR","","","","","41.182","-104.8093","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",7,6,6,6,6,6,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","False","True","True","True","False","More than once per day","Less than 10 seconds","Always – I always accept the default cookie & data use policies","Never - I never read websites' privacy policies","Because the cookie policy was necessary to view the website.","","To protect my online privacy","",5,5,5,5,5,5,7,3,7,7,3,7,7,6,2,7,7,7,7,7,5,1,1,"Facebook,Instagram,TikTok","Google Chrome","","More than 8 hours","Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab)","","A broader circle of family and friends (20-200 people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself","Numeric Entry:",36,"Female","","High School","Zenith Computing","$25,000-$49,999","Employed Full-Time","","Slightly conservative","iOS/iPhone","","1","R_yrxqEQmHbqqmtcR","945D0FB22C5D4745A703A700088247D2","large-new-ads",6.16666666666667,2.33333333333333,"Low_Income",5
"45","2023-07-13 09:05:08","2023-07-13 09:15:58","IP Address","197.210.85.51","100","650","True","2023-07-13 09:15:59","R_3nwu9lFsByGLwIO","","","","","4.7731","7.0085","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",6,5,4,4,6,7,"Somewhat aware","Moderately knowledgeable","Moderately aware","Very knowledgeable","True","False","True","False","True","True","About once per day","10-30 seconds","Frequently – I often accept the default cookie & data use policies","​​Always - I read them thoroughly every time I visit a website.","To protect my privacy and control my personal data.,To reduce the number of ads I see.,Out of habit or convenience.","","To hide my online activity from the website operator,To prevent the company from accessing personally sensitive information about me","",2,1,1,4,1,2,2,4,5,5,3,5,5,4,5,5,5,5,4,4,4,2,4,"Instagram,Twitter,Snapchat,TikTok","Safari","","3 hours","Education,News,Entertainment","","Computer (desktop/laptop),Mobile phone or smartphone,Smart home devices (e.g., Amazon Echo, Google Home)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Post online music or a video that you have created yourself","Numeric Entry:",22,"Female","","Bachelor's Degree","Zenith Computing","$100,000-$124,999","Employed Full-Time","","Very conservative","iOS/iPhone","","1","R_3nwu9lFsByGLwIO","7DF794EA23F14B1CA89848629AC9A8B4","large-old-products",5.33333333333333,3.33333333333333,"Middle_Income",1.83333333333333
"46","2023-07-13 09:04:09","2023-07-13 09:16:01","IP Address","192.34.130.239","100","712","True","2023-07-13 09:16:01","R_es6DNxSA84kp6il","","","","","35.903","-82.2876","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",5,6,6,6,6,6,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","False","True","True","True","False","About once per day","10-30 seconds","Frequently – I often accept the default cookie & data use policies","Occasionally - I read them sometimes, depending on the website or context","Because the cookie policy was necessary to view the website.","","Because I believe selecting “Accept” is not my best interest","",5,5,5,6,2,2,6,4,5,5,6,6,5,5,3,4,4,3,3,2,5,6,6,"Facebook","Google Chrome","","1 hour","News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself","Numeric Entry:",56,"Male","","High School","Zenith Computing","$25,000-$49,999","Employed Full-Time","","No preference","Android","","1","R_es6DNxSA84kp6il","1A24AEAA97534FB2BC56EF43209C24E5","small-old-ads",5.83333333333333,5.66666666666667,"Low_Income",4.16666666666667
"47","2023-07-13 09:04:34","2023-07-13 09:16:21","IP Address","162.244.245.40","100","706","True","2023-07-13 09:16:22","R_vw28QSdRzTJLePT","","","","","37.9653","-87.3902","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",1,1,1,1,1,1,"Not at all aware","Not knowledgeable at all","Slightly aware","Not knowledgeable at all","True","False","True","True","True","False","About once a week","Less than 10 seconds","Never – I never accept the default policy; I always click “Decline” and/or modify my privacy settings.","Never - I never read websites' privacy policies","To reduce the number of ads I see.","","To protect my online privacy,To hide my online activity from the website operator","",1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,6,6,7,"Twitter","Google Chrome","","4 hours","News,Entertainment","","Computer (desktop/laptop),Mobile phone or smartphone","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself","Numeric Entry:",33,"Male","","Bachelor's Degree","Zenith Computing","$50,000-$74,999","Employed Full-Time","","Very liberal","iOS/iPhone","","1","R_vw28QSdRzTJLePT","6C1964B0357642AD8167B7329869BDF4","small-old-ads",1,6.33333333333333,"Middle_Income",1
